"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"PSS-132","Epic","","Infrastructure & DevOps","In Progress","Layla","","2026/01/19","2026/01/19","2026/04/27","2026/04/27","purple"
"PSS-209","Task","PSS-132","Challenges for PSS","Done","Ray wang","4: HCI & Narrative Integration","","2026/03/02","","2026/03/16","purple"
"PSS-258","Task","PSS-132","Use case diagram","Done","Lucca Zhou","5: Documentation & Maintenance","","2026/03/16","","2026/03/30","purple"
"PSS-233","Task","PSS-132","Add System Architecture Class Diagram to README","Done","Charlotte Yu","5: Documentation & Maintenance","","2026/03/16","","2026/03/30","purple"
"PSS-239","Task","PSS-132","Develop digital wireframes and update Week 3 requirements in README","Done","Charlotte Yu","5: Documentation & Maintenance","","2026/03/16","","2026/03/30","purple"
"PSS-240","Task","PSS-132","Comprehensive README Overhaul (Intro, Requirements, Design, Black-Box Testing)","Done","Charlotte Yu","5: Documentation & Maintenance","","2026/03/16","","2026/03/30","purple"
"PSS-241","Task","PSS-132","Add prototype gif for Requirement in README","Done","Layla","5: Documentation & Maintenance","","2026/03/16","","2026/03/30","purple"
"PSS-242","Task","PSS-132","Add alternative prototype gif for Requirement in README","Done","Layla","5: Documentation & Maintenance","","2026/03/16","","2026/03/30","purple"
"PSS-214","Task","PSS-132","Update README: Add Architectural Challenges & Optimised Gameplay GIFs","Done","Charlotte Yu","4: HCI & Narrative Integration","","2026/03/02","","2026/03/16","purple"
"PSS-215","Task","PSS-132","Evaluation section(two Evaluation part)","Done","Lucca Zhou","4: HCI & Narrative Integration","","2026/03/02","","2026/03/16","purple"
"PSS-46","Task","PSS-132","Requirement Engineering & Design","Done","Charlotte Yu","2: Requirements & Prototyping","","2026/02/02","","2026/02/15","purple"
"PSS-48","Task","PSS-132","Define & Assign Team Roles and Responsibilities","Done","Charlotte Yu","2: Requirements & Prototyping","","2026/02/02","","2026/02/15","purple"
"PSS-39","Story","PSS-132","Deploy Project Showcase Website for Technical Audit","Done","Charlotte Yu","3: Core Dev & Integration","","2026/02/16","","2026/03/02","purple"
"PSS-43","Story","PSS-132","Enhance README Aesthetics and Project Traceability","Done","Charlotte Yu","3: Core Dev & Integration","","2026/02/16","","2026/03/02","purple"
"PSS-31","Story","PSS-132","Global Identity Standardisation for All Core Members","Done","Charlotte Yu","3: Core Dev & Integration","","2026/02/16","","2026/03/02","purple"
"PSS-151","Task","PSS-132","Refactor Week 1 Lab documentation","Done","Charlotte Yu","3: Core Dev & Integration","","2026/02/16","","2026/03/02","purple"
"PSS-137","Task","PSS-132","Initial Game Concept Brainstorming & Evaluation","Done","Charlotte Yu","1: Project Initiation","","2026/01/19","","2026/02/01","purple"
"PSS-138","Task","PSS-132","Multi-Dimensional Selection Process","Done","Charlotte Yu","1: Project Initiation","","2026/01/19","","2026/02/01","purple"
"PSS-227","Task","PSS-132","Update Audio list","Done","Layla","4: HCI & Narrative Integration","","2026/03/02","","2026/03/16","purple"
"PSS-228","Task","PSS-132","Evaluation section(Code Test)","Done","Layla","4: HCI & Narrative Integration","","2026/03/02","","2026/03/16","purple"
"PSS-259","Task","PSS-132","Create stake holder onion model","Done","Charlotte Yu","5: Documentation & Maintenance","","2026/03/16","","2026/03/30","purple"
"PSS-266","Task","PSS-132","Sequence diagram","Done","Layla","5: Documentation & Maintenance","","2026/03/16","","2026/03/30","purple"
"PSS-279","Task","PSS-132","Refine System Logic, UI Polish & Finalize Technical Challenge Video Assets","In Progress","Charlotte Yu","6: Hardening & Deliverables","","2026/03/30","","2026/04/27","purple"
"PSS-133","Epic","","Core Gameplay Mechanics","In Progress","Ray wang","","2026/02/02","2026/02/02","2026/04/27","2026/04/27","green"
"PSS-161","Task","PSS-133","Refactor Ending Logic Flow and Implement Persistent Save/Load System with UI","Done","Charlotte Yu","4: HCI & Narrative Integration","","2026/03/02","","2026/03/16","purple"
"PSS-165","Task","PSS-133","Refactor Game Entry Logic: Multi-stage Difficulty Selection and Input Standardisation","Done","Charlotte Yu","4: HCI & Narrative Integration","","2026/03/02","","2026/03/16","purple"
"PSS-173","Story","PSS-133","Default Access for Character Gallery","Done","Charlotte Yu","4: HCI & Narrative Integration","","2026/03/02","","2026/03/16","purple"
"PSS-244","Story","PSS-133","Core Gameplay, Tutorial Refactoring & System Polish","Done","Charlotte Yu","5: Documentation & Maintenance","","2026/03/16","","2026/03/30","purple"
"PSS-225","Task","PSS-133","Fine-tune Player Movement Mechanics","Done","Ray wang","5: Documentation & Maintenance","","2026/03/16","","2026/03/30","purple"
"PSS-34","Story","PSS-133","level pacing design","Done","Ray wang","5: Documentation & Maintenance","","2026/03/16","","2026/03/30","purple"
"PSS-235","Task","PSS-133","Implementation of Loading Screen and Resource Self-Check","Done","Ray wang","5: Documentation & Maintenance","","2026/03/16","","2026/03/30","purple"
"PSS-175","Task","PSS-133","Implement Forced Drag-and-Drop Tutorial Logic","Done","Charlotte Yu","4: HCI & Narrative Integration","","2026/03/02","","2026/03/16","purple"
"PSS-177","Bug","PSS-133","Fix: Inconsistent Exit Guard & ""Fail-State"" Prevention","Done","Charlotte Yu","4: HCI & Narrative Integration","","2026/03/02","","2026/03/16","purple"
"PSS-178","Task","PSS-133","Contextual Level Tips & Interaction Triggers","Done","Charlotte Yu","4: HCI & Narrative Integration","","2026/03/02","","2026/03/16","purple"
"PSS-179","Task","PSS-133","Level 3 Mutex Logic: Item Mutual Exclusion UI","Done","Charlotte Yu","4: HCI & Narrative Integration","","2026/03/02","","2026/03/16","purple"
"PSS-203","Bug","PSS-133","Fix broken 'Exit' button interaction and missing sub-menu on Failure Screen","Done","Charlotte Yu","4: HCI & Narrative Integration","","2026/03/02","","2026/03/16","purple"
"PSS-218","Bug","PSS-133","Fix main menu keyboard navigation bug","Done","Charlotte Yu","4: HCI & Narrative Integration","","2026/03/02","","2026/03/16","purple"
